City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Nikolskoye,RU,2022-08-08 01:14:21,59.7035,30.7861,58.8,80,100,4.03,overcast clouds
60,Hofn,IS,2022-08-08 01:14:22,64.2539,-15.2082,52.32,85,21,9.93,few clouds
61,Hilo,US,2022-08-08 01:14:22,19.7297,-155.09,88.29,71,0,11.5,clear sky
62,Albany,US,2022-08-08 01:10:27,42.6001,-73.9662,80.58,80,0,4.68,clear sky
63,Marystown,CA,2022-08-08 01:14:24,47.1666,-55.1483,67.86,100,100,1.99,overcast clouds
64,Punta Arenas,CL,2022-08-08 01:11:18,-53.15,-70.9167,37.51,81,75,11.5,broken clouds
65,Ayan,RU,2022-08-08 01:14:25,56.45,138.1667,54.3,95,100,22.35,moderate rain
66,Lodwar,KE,2022-08-08 01:14:26,3.1191,35.5973,79.27,51,100,11.72,overcast clouds
67,Sambava,MG,2022-08-08 01:14:26,-14.2667,50.1667,64.54,88,9,8.79,clear sky
68,Kraskino,RU,2022-08-08 01:14:27,42.7114,130.7794,80.87,71,10,9.64,clear sky
69,Zyryanka,RU,2022-08-08 01:14:27,65.75,150.85,73.74,49,26,12.26,scattered clouds
70,Avarua,CK,2022-08-08 01:14:27,-21.2078,-159.775,77.05,61,40,19.57,scattered clouds
71,Zabol,AF,2022-08-08 01:14:28,32.25,67.25,72.82,20,0,2.24,clear sky
72,Sao Joao Da Barra,BR,2022-08-08 01:12:47,-21.6403,-41.0511,71.96,91,62,5.53,broken clouds
73,Monte Escobedo,MX,2022-08-08 01:14:29,22.3,-103.5833,66.29,60,56,1.63,broken clouds
74,Yangjiang,CN,2022-08-08 01:14:29,21.85,111.9667,82.27,85,55,8.88,broken clouds
75,Port Elizabeth,ZA,2022-08-08 01:14:30,-33.918,25.5701,60.1,100,100,23.02,moderate rain
76,Grand Gaube,MU,2022-08-08 01:14:30,-20.0064,57.6608,65.37,78,0,5.01,clear sky
77,Sorong,ID,2022-08-08 01:14:31,-0.8833,131.25,81.25,78,61,7.0,broken clouds
78,Anadyr,RU,2022-08-08 01:14:31,64.75,177.4833,50.5,49,40,22.37,scattered clouds
79,Margate,GB,2022-08-08 01:14:32,51.3813,1.3862,60.69,81,13,1.01,few clouds
80,Qujing,CN,2022-08-08 01:14:32,25.4833,103.7833,64.17,88,99,3.65,overcast clouds
81,Hermanus,ZA,2022-08-08 01:14:32,-34.4187,19.2345,57.06,84,19,3.89,few clouds
82,Sao Filipe,CV,2022-08-08 01:14:33,14.8961,-24.4956,79.54,84,66,3.49,broken clouds
83,Faanui,PF,2022-08-08 01:14:33,-16.4833,-151.75,76.51,71,61,25.7,broken clouds
84,Lingao,CN,2022-08-08 01:14:34,19.9103,109.6859,83.3,82,100,12.53,overcast clouds
85,Honningsvag,NO,2022-08-08 01:14:34,70.9821,25.9704,49.75,87,75,17.27,broken clouds
86,Touros,BR,2022-08-08 01:14:35,-5.1989,-35.4608,74.55,81,16,13.15,few clouds
87,Plettenberg Bay,ZA,2022-08-08 01:14:35,-34.0527,23.3716,59.0,84,99,13.62,overcast clouds
88,Longyearbyen,SJ,2022-08-08 01:14:36,78.2186,15.6401,44.44,93,75,13.8,broken clouds
89,Labuhan,ID,2022-08-08 01:14:36,-6.8844,112.2051,79.36,75,5,9.66,clear sky
90,Chapais,CA,2022-08-08 01:14:37,49.7834,-74.8492,53.38,64,24,3.65,few clouds
91,Eureka,US,2022-08-08 01:14:37,40.8021,-124.1637,74.68,81,69,3.0,broken clouds
92,Pavelets,RU,2022-08-08 01:14:37,53.7883,39.246,66.34,59,100,5.55,overcast clouds
93,San Patricio,US,2022-08-08 01:14:38,28.017,-97.5169,87.75,61,96,14.29,overcast clouds
94,Cananea,MX,2022-08-08 01:10:32,30.95,-110.3,66.07,79,88,12.3,light rain
95,Katsuura,JP,2022-08-08 01:14:38,35.1333,140.3,84.0,78,3,17.52,clear sky
96,Sheridan,US,2022-08-08 01:13:03,44.8333,-106.9173,80.98,25,0,4.61,clear sky
97,Tezu,IN,2022-08-08 01:14:39,27.9167,96.1667,86.22,70,27,0.54,scattered clouds
98,Provideniya,RU,2022-08-08 01:14:40,64.3833,-173.3,41.36,65,100,18.01,overcast clouds
99,Castro,BR,2022-08-08 01:14:30,-24.7911,-50.0119,56.35,97,100,5.28,overcast clouds
100,Severo-Kurilsk,RU,2022-08-08 01:14:40,50.6789,156.125,59.23,87,35,3.69,scattered clouds
101,Barlinek,PL,2022-08-08 01:14:41,52.9946,15.2186,59.14,70,12,5.41,few clouds
102,Kapaa,US,2022-08-08 01:14:41,22.0752,-159.319,82.72,77,0,12.66,clear sky
103,Chokurdakh,RU,2022-08-08 01:14:25,70.6333,147.9167,57.22,36,99,17.47,overcast clouds
104,Bredasdorp,ZA,2022-08-08 01:14:42,-34.5322,20.0403,57.09,90,100,2.19,overcast clouds
105,Akhisar,TR,2022-08-08 01:14:42,38.9185,27.8401,69.69,83,0,7.31,clear sky
106,Pemberton,CA,2022-08-08 01:14:42,50.3164,-122.8027,89.29,26,0,5.64,clear sky
107,Lukovetskiy,RU,2022-08-08 01:14:43,64.2956,41.9211,52.11,89,19,5.03,few clouds
108,San Antero,CO,2022-08-08 01:14:43,9.3741,-75.7589,78.98,83,100,7.49,overcast clouds
109,Cottonwood,US,2022-08-08 01:14:44,34.7392,-112.0099,75.9,79,100,2.71,overcast clouds
110,Bowen,AU,2022-08-08 01:14:44,-20.0167,148.2333,70.97,56,0,8.12,clear sky
111,North Battleford,CA,2022-08-08 01:14:45,52.7834,-108.2847,78.4,50,20,10.36,few clouds
112,Valparaiso,CL,2022-08-08 01:14:45,-33.0393,-71.6273,52.48,100,0,6.91,clear sky
113,Itarema,BR,2022-08-08 01:14:46,-2.9248,-39.9167,77.9,83,7,16.08,clear sky
114,Galle,LK,2022-08-08 01:14:46,6.0367,80.217,77.43,89,100,12.44,overcast clouds
